Label n,Label N,n,N,Setup time,SRS size,Commitment time,Prover time,Transcript size,Verifier time
2^4,2^6,16,64,0.064372476,6792,0.132226289,2.880964891,72924,277.4629558
2^6,2^9,64,512,0.158427887,23688,0.193440025,2.800880624,96528,331.4124027
2^8,2^12,256,4096,0.590383658,91272,0.444548991,2.998707139,113832,374.7107409
2^10,2^15,1024,32768,1.612164818,361608,1.718621499,5.631059708,131136,423.9858887
2^12,2^18,4096,262144,6.424819862,1442952,7.935569045,12.5500761,148440,475.8006457
2^14,2^21,16384,2097152,25.48014145,5768328,48.80962968,32.38757255,165744,524.8047957
2^16,2^24,65536,16777216,101.9817374,23069832,359.8009973,100.9954943,183048,574.572987
2^18,2^27,262144,134217728,404.3003324,92275848,3428.026025,366.0962359,200352,624.3276211
2^20,2^30,1048576,1073741824,1610.470715,369099912,23051.5419,1404.99141,217656,674.7118939
